stop_id,stop_name,stop_type,stop_other,stop_coord
abas,"Aba-Sárkeresztúr",állomás,"",
absz,"Abádszalók",állomás,"Pusztataskony-Abádszalók",47.455329:20.553206
abaf,"Abafalva",(Felvidék/Szlovákia),"Abovce",
abal,"Abaliget",állomás,"",46.152726:18.075268
abap,"Abapuszta",megszűnt megállóhely,"",
abuj,"Abaújkér",megállóhely,"",48.308885:21.197991
abus,"Abaújszántó",állomás,"",48.286545:21.18124
abuf,"Abaújszántói-fürdő",megállóhely,"",48.268706:21.179562
absi,"Abaújszina",(Felvidék/Szlovákia),"Seňa",
abda,"Abda",megállóhely,"",47.690741:17.540713
abny,"Abony",állomás,"",47.173179:20.01606
abnu,"Abonyi út",megállóhely,"",47.206564:20.125062
abrh,"Ábrahámhegy",megállóhely,"",46.814926:17.572038
acs_,"Ács",állomás,"",47.716966:18.00468
acsa,"Acsa-Erdőkürt",állomás,"",
acsd,"Acsád",állomás,"",47.308357:16.734674
adcs,"Adács",megállóhely,"",47.696687:19.9756
adnd,"Ádánd",állomás,"",46.854071:18.141355
adny,"Adony",állomás,"",47.106162:18.84789
adpu,"Adorjánpuszta",megszűnt megállóhely,"",
agrd,"Agárd",megállóhely,"",47.198221:18.606208
agrt,"Agárdytelep",megszűnt megállóhely,"",46.819363:19.385623
ageh,"Ágasegyháza",megszűnt állomás,"",46.844254:19.456327
aget,"Ágasegyházi tanyák",megszűnt megállóhely,"",46.836996:19.418272
ager,"Ágerdőmajor",megszűnt megállóhely,"",
agfa,"Ágfalva",megszűnt megállóhely,"",
agol,"Ágostonlak",(Felvidék/Szlovákia),"Závadka nad Hronom obec",
wago,"Ágostonpuszta",megszűnt kisvasúti megállóhely,"",
agyb,"Agyagbánya",megszűnt megállóhely,"",
ajak,"Ajak",,"",48.185516:22.046444
ajka,"Ajka",állomás,"",47.105953:17.573045
ajgy,"Ajka-Gyártelep",megállóhely,"",
ajna,"Ajnácskő",(Felvidék/Szlovákia),"Hajnáčka",
waks,"Akasztó",megszűnt kisvasúti,"",
algm,"Alagimajor",megállóhely,"",47.601815:19.153961
alap,"Alap",megállóhely,"",46.83204:18.657401
alba,"Albár",(Felvidék/Szlovákia),"Dolný Bar",
bufo,"Albertfalva",állomás,"Budafok délivasút, Budafok-Albertfalva",47.439378:19.034792
albe,"Albertirsa",állomás,"Alberti-Irsa",47.239999:19.606813
alcs,"Alcsút-Felcsút",megszűnt állomás,"",47.441593:18.588469
alde,"Aldebrő",megszűnt megállóhely,"",
algy,"Algyő",állomás,"",46.335497:20.195954
alib,"Alibánfa",megszűnt megállóhely,"",
alpu,"Állampuszta",megszűnt állomás,"",46.71793:19.059067
almm,"Almamellék",megszűnt állomás,"",46.16784:17.888977
alma,"Almamellék alsó",megszűnt megállóhely,"Almamellék megálló",
almr,"Almár",megállóhely,"Felnémet-Bányatelep",47.954923:20.357738
alms,"Almás",megállóhely,"",
alfu,"Almásfüzitő",állomás,"",47.725301:18.262004
alff,"Almásfüzitő felső",állomás,"",47.731329:18.217001
almk,"Almáskert",megszűnt megállóhely,"Királyság, Eperjes",
alom,"Álomzúg",megszűnt megállóhely,"",
abel,"Alsóbélatelep",megállóhely,"Fonyódszéplak",46.724246:17.516343
wabi,"Alsóbikol",megszűnt kisvasúti,"",
wabo,"Alsóbogát",megszűnt kisvasúti állomás,"",
abol,"Alsóboldva",megállóhely,"Sajósenye",48.21261:20.792204
aerd,"Alsóerdő",megszűnt megállóhely,"",
agal,"Alsógalla",megállóhely,"Tatabánya",47.563365:18.424538
agye,"Alsógyenes",megállóhely,"",46.765945:17.276639
agod,"Alsógöd",megállóhely,"Göd alsó",47.677952:19.134706
ajat,"Alsójattó",(Felvidék/Szlovákia),"Jatov",
waka,"Alsókara",megszűnt kisvasúti megállóhely,"Terjéki rakodó",
akoc,"Alsókocskóc",(Felvidék/Szlovákia),"Dolné Kočkovce",
akro,"Alsóköröskény",(Felvidék/Szlovákia),"Dolné Krškany",
